timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,Unique Request,Message Types,Type,Elapsed,Latency
1.74E+12,52,/jforum/-129,200,,Admin 1-2,text,TRUE,,12626,982,5,5,http://172.26.129.206:8080/jforum/forums/list.page,9,0,0,,,,,/jforum/adminBoardStats/,Type11,Type38,131.77,101.21
1.74E+12,9,/jforum/-129-0,301,,Admin 1-2,text,TRUE,,166,511,5,5,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,9,0,0,,,,,/jforum/adminCache/list,Type12,Type1,31.8,27.88
1.74E+12,43,/jforum/-129-1,200,,Admin 1-2,text,TRUE,,12460,471,5,5,http://172.26.129.206:8080/jforum/forums/list.page,41,0,7,,,,,/jforum/adminConfig/,Type13,Type1,102.5866667,59.61333333
1.74E+12,76,/jforum/jforum.page-127,200,,Admin 1-4,text,TRUE,,13002,1793,5,5,http://172.26.129.206:8080/jforum/forums/list.page,20,0,6,,,,,/jforum/adminForums/edit/,Type14,Type1,134.7,83.62
1.74E+12,20,/jforum/jforum.page-127-0,302,,Admin 1-4,,TRUE,,221,413,5,5,http://172.26.129.206:8080/jforum/jforum.page,20,0,6,,,,,/jforum/adminForums/insert,Type15,Type38,112.06,102.46
1.74E+12,7,/jforum/jforum.page-127-1,302,,Admin 1-4,,TRUE,,155,454,5,5,http://172.26.129.206:8080/jforum,7,0,0,,,,,/jforum/adminForums/list,Type16,Type38,126.76,108.64
1.74E+12,8,/jforum/jforum.page-127-2,301,,Admin 1-4,text,TRUE,,166,455,5,5,http://172.26.129.206:8080/jforum/,8,0,0,,,,,/jforum/adminGroups/edit/,Type17,Type38,236.78,159.68
1.74E+12,40,/jforum/jforum.page-127-3,200,,Admin 1-4,text,TRUE,,12460,471,5,5,http://172.26.129.206:8080/jforum/forums/list.page,39,0,7,,,,,/jforum/adminGroups/insert,Type18,Type38,173.36,100.68
1.74E+12,49,/jforum/-129,200,,Admin 1-3,text,TRUE,,12626,982,6,6,http://172.26.129.206:8080/jforum/forums/list.page,8,0,0,,,,,/jforum/adminGroups/list,Type19,Type38,148.04,146.56
1.74E+12,8,/jforum/-129-0,301,,Admin 1-3,text,TRUE,,166,511,6,6,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,8,0,0,,,,,/jforum/adminGroups/permissions/2,Type20,Type1,222.24,174.52
1.74E+12,41,/jforum/-129-1,200,,Admin 1-3,text,TRUE,,12460,471,6,6,http://172.26.129.206:8080/jforum/forums/list.page,39,0,7,,,,,/jforum/adminModeration/list,Type21,Type1,127.92,80.16
1.74E+12,35,/jforum/forums/list.page-130,200,,Admin 1-2,text,TRUE,,12460,471,6,7,http://172.26.129.206:8080/jforum/forums/list.page,33,0,0,,,,,/jforum/adminRankings/insert,Type22,Type1,170.42,112.36
1.74E+12,9,/jforum/ping_session.jsp-133,200,,Admin 1-2,text,TRUE,,543,527,6,7,http://172.26.129.206:8080/jforum/ping_session.jsp,9,0,0,,,,,/jforum/adminRankings/list,Type23,Type32,67.06,59.42
1.74E+12,106,/jforum/forums/list.page-130,200,,Admin 1-3,text,TRUE,,12460,471,6,7,http://172.26.129.206:8080/jforum/forums/list.page,106,0,0,,,,,/jforum/adminRegEmail/list,Type24,Type41,87.24,68.54
1.74E+12,89,/jforum/user/login.page-134,200,,Admin 1-2,text,TRUE,,6247,529,6,7,http://172.26.129.206:8080/jforum/user/login.page,89,0,0,,,,,/jforum/adminSearchStats/list,Type25,Type32,115.52,65.56
1.74E+12,120,/jforum/-129,200,,Admin 1-4,text,TRUE,,12626,982,6,7,http://172.26.129.206:8080/jforum/forums/list.page,8,0,0,,,,,/jforum/adminSmilies/list,Type26,Type60,146.52,106.16
1.74E+12,9,/jforum/-129-0,301,,Admin 1-4,text,TRUE,,166,511,6,7,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,8,0,0,,,,,/jforum/adminSpamBlock/list,Type27,Type1,99.56,61.48
1.74E+12,111,/jforum/-129-1,200,,Admin 1-4,text,TRUE,,12460,471,6,7,http://172.26.129.206:8080/jforum/forums/list.page,111,0,5,,,,,/jforum/adminUsers/pendingActivations,Type28,Type1,141.62,115.96
1.74E+12,102,/jforum/user/login.page-490,200,,Admin2 2-1,text,TRUE,,6785,552,2,9,http://172.26.129.206:8080/jforum/user/login.page,101,0,7,,,,,/jforum/bookmarks/insert/,Type29,Type1,182.2,145.1
1.74E+12,154,/jforum/jforum.page-127,200,,Admin 1-5,text,TRUE,,13002,1793,7,9,http://172.26.129.206:8080/jforum/forums/list.page,20,0,7,,,,,/jforum/bookmarks/list/,Type30,Type60,118.9866667,92.56
1.74E+12,20,/jforum/jforum.page-127-0,302,,Admin 1-5,,TRUE,,221,413,7,9,http://172.26.129.206:8080/jforum/jforum.page,20,0,7,,,,,/jforum/captcha/generate/,Type31,Type38,188.3272727,119.6727273
1.74E+12,7,/jforum/jforum.page-127-1,302,,Admin 1-5,,TRUE,,155,454,7,9,http://172.26.129.206:8080/jforum,7,0,0,,,,,/jforum/forums/list,Type32,Type38,158.0486258,129.1712474
1.74E+12,8,/jforum/jforum.page-127-2,301,,Admin 1-5,text,TRUE,,166,455,7,9,http://172.26.129.206:8080/jforum/,7,0,0,,,,,/jforum/forums/newMessages,Type33,Type38,115.08,66.8
1.74E+12,119,/jforum/jforum.page-127-3,200,,Admin 1-5,text,TRUE,,12460,471,7,9,http://172.26.129.206:8080/jforum/forums/list.page,119,0,5,,,,,/jforum/forums/show/,Type34,Type38,193.1066667,140.312
1.74E+12,41,/jforum/forums/list.page-130,200,,Admin 1-4,text,TRUE,,12460,471,9,12,http://172.26.129.206:8080/jforum/forums/list.page,40,0,0,,,,,/jforum/forums/watchForum/,Type35,Type38,183.34,138.44
1.74E+12,165,/jforum/jforum.page-127,200,,Admin 1-6,text,TRUE,,13002,1793,10,13,http://172.26.129.206:8080/jforum/forums/list.page,20,0,7,,,,,/jforum/hottestTopics/list,Type36,Type32,121.908,85.968
1.74E+12,20,/jforum/jforum.page-127-0,302,,Admin 1-6,,TRUE,,221,413,10,13,http://172.26.129.206:8080/jforum/jforum.page,20,0,7,,,,,/jforum/images/,Type37,Type38,72.3025641,54.62358974
1.74E+12,7,/jforum/jforum.page-127-1,302,,Admin 1-6,,TRUE,,155,454,10,13,http://172.26.129.206:8080/jforum,7,0,0,,,,,/jforum/jforum,Type38,Type38,141.7831735,122.5909273
1.74E+12,91,/jforum/jforum.page-127-2,301,,Admin 1-6,text,TRUE,,166,455,10,13,http://172.26.129.206:8080/jforum/,91,0,0,,,,,/jforum/js/list/moderation,Type39,Type38,179.752,130.168
1.74E+12,46,/jforum/jforum.page-127-3,200,,Admin 1-6,text,TRUE,,12460,471,10,13,http://172.26.129.206:8080/jforum/forums/list.page,45,0,6,,,,,/jforum/moderation/showActivityLog,Type40,Type38,109.2,103.86
1.74E+12,24,/jforum/user/login.page-490,200,,Admin2 2-4,text,TRUE,,6785,552,3,13,http://172.26.129.206:8080/jforum/user/login.page,23,0,7,,,,,/jforum/ping_session,Type41,Type38,101.7722155,80.27420752
1.74E+12,10,/jforum/ping_session.jsp-133,200,,Admin 1-4,text,TRUE,,543,527,10,13,http://172.26.129.206:8080/jforum/ping_session.jsp,10,0,0,,,,,/jforum/pm/findUser,Type42,Type60,97.25333333,76.46666667
1.74E+12,9,/jforum/ping_session.jsp-491,200,,Admin2 2-4,text,TRUE,,543,546,4,14,http://172.26.129.206:8080/jforum/ping_session.jsp,9,0,0,,,,,/jforum/pm/inbox,Type43,Type41,127.6057143,88.63428571
1.74E+12,13,/jforum/user/login.page-134,200,,Admin 1-4,text,TRUE,,6247,529,10,14,http://172.26.129.206:8080/jforum/user/login.page,12,0,0,,,,,/jforum/pm/send,Type44,Type41,189.64,131.28
1.74E+12,9,/jforum/ping_session.jsp-135,200,,Admin 1-4,text,TRUE,,543,526,10,15,http://172.26.129.206:8080/jforum/ping_session.jsp,9,0,0,,,,,/jforum/posts/edit/,Type45,Type60,75.76,67.8
1.74E+12,23,/jforum/user/login.page-490,200,,Admin2 2-5,text,TRUE,,6785,552,5,15,http://172.26.129.206:8080/jforum/user/login.page,22,0,6,,,,,/jforum/posts/insert/,Type46,Type41,110.368,78.448
1.74E+12,8,/jforum/ping_session.jsp-491,200,,Admin2 2-5,text,TRUE,,543,546,5,16,http://172.26.129.206:8080/jforum/ping_session.jsp,8,0,0,,,,,/jforum/posts/list/,Type47,Type60,169.4327273,114.1745455
1.74E+12,25,/jforum/user/login.page-490,200,,Admin2 2-3,text,TRUE,,6785,552,6,17,http://172.26.129.206:8080/jforum/user/login.page,23,0,7,,,,,/jforum/posts/listByUser/,Type48,Type41,177.6114286,117.6171429
1.74E+12,51,/jforum/-129,200,,Admin 1-6,text,TRUE,,12720,982,11,17,http://172.26.129.206:8080/jforum/forums/list.page,8,0,0,,,,,/jforum/posts/preList/,Type49,Type60,216.4266667,204.6
1.74E+12,8,/jforum/-129-0,301,,Admin 1-6,text,TRUE,,166,511,11,17,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,8,0,0,,,,,/jforum/posts/reply/,Type50,Type1,213.22,130.79
1.74E+12,43,/jforum/-129-1,200,,Admin 1-6,text,TRUE,,12554,471,11,17,http://172.26.129.206:8080/jforum/forums/list.page,41,0,6,,,,,/jforum/posts/review/,Type51,Type1,143.144,86.928
1.74E+12,33,/jforum/forums/list.page-143,200,,Admin 1-4,text,TRUE,,12554,525,11,17,http://172.26.129.206:8080/jforum/forums/list.page,31,0,0,,,,,/jforum/posts/watch/,Type52,Type1,209.14,126.18
1.74E+12,10,/jforum/ping_session.jsp-491,200,,Admin2 2-3,text,TRUE,,543,546,6,17,http://172.26.129.206:8080/jforum/ping_session.jsp,10,0,0,,,,,/jforum/recentTopics/list,Type53,Type32,173.3942857,105.1285714
1.74E+12,59,/jforum/jforum.page-492,200,,Admin2 2-4,text,TRUE,,13241,1625,6,17,http://172.26.129.206:8080/jforum/forums/list.page?OWASP_CSRFTOKEN=K2A2-YX2D-G9S8-ZMD7-5LTZ-3FYJ-8BZ9-45FF,21,0,0,,,,,/jforum/templates/default/,Type54,Type41,74.18025316,62.23544304
1.74E+12,21,/jforum/jforum.page-492-0,302,,Admin2 2-4,,TRUE,,529,921,6,17,http://172.26.129.206:8080/jforum/jforum.page,21,0,0,,,,,/jforum/topDownloads/list,Type55,Type38,125.8514286,95.79428571
1.74E+12,38,/jforum/jforum.page-492-1,200,,Admin2 2-4,text,TRUE,,12712,704,6,17,http://172.26.129.206:8080/jforum/forums/list.page?OWASP_CSRFTOKEN=K2A2-YX2D-G9S8-ZMD7-5LTZ-3FYJ-8BZ9-45FF,36,0,0,,,,,/jforum/user/acceptAgreement,Type56,Type38,195.7466667,177.3466667
1.74E+12,77,/jforum/jforum.page-127,200,,Admin 1-10,text,TRUE,,13189,1793,11,17,http://172.26.129.206:8080/jforum/forums/list.page,20,0,7,,,,,/jforum/user/edit/,Type57,Type38,139.9,112.84
1.74E+12,20,/jforum/jforum.page-127-0,302,,Admin 1-10,,TRUE,,221,413,11,17,http://172.26.129.206:8080/jforum/jforum.page,20,0,7,,,,,/jforum/user/insert,Type58,Type38,208.3542857,175.7942857
1.74E+12,7,/jforum/jforum.page-127-1,302,,Admin 1-10,,TRUE,,155,454,11,17,http://172.26.129.206:8080/jforum,7,0,0,,,,,/jforum/user/list,Type59,Type38,248.12,211.24
1.74E+12,8,/jforum/jforum.page-127-2,301,,Admin 1-10,text,TRUE,,166,455,11,17,http://172.26.129.206:8080/jforum/,8,0,0,,,,,/jforum/user/login,Type60,Type38,142.4033613,113.9411765
1.74E+12,42,/jforum/jforum.page-127-3,200,,Admin 1-10,text,TRUE,,12647,471,11,17,http://172.26.129.206:8080/jforum/forums/list.page,39,0,7,,,,,/jforum/user/logout,Type61,Type38,122.8433333,99.96
1.74E+12,19,/jforum/jforum.page-139,200,,Admin 1-4,text,TRUE,,6379,842,12,18,http://172.26.129.206:8080/jforum/jforum.page,19,0,0,,,,,/jforum/user/profile/,Type62,Type38,252.9333333,176.8266667
1.74E+12,27,/jforum/user/login.page-490,200,,Admin2 2-6,text,TRUE,,6785,552,6,17,http://172.26.129.206:8080/jforum/user/login.page,25,0,9,,,,,user/registration,Type63,Type38,231.3,202.5933333
1.74E+12,9,/jforum/ping_session.jsp-491,200,,Admin2 2-6,text,TRUE,,543,546,6,18,http://172.26.129.206:8080/jforum/ping_session.jsp,9,0,0,,,,,,,Type60,,
1.74E+12,9,/jforum/ping_session.jsp-140,200,,Admin 1-4,text,TRUE,,543,522,12,18,http://172.26.129.206:8080/jforum/ping_session.jsp,9,0,0,,,,,,,Type41,,
1.74E+12,40,/jforum/forums/list.page-130,200,,Admin 1-6,text,TRUE,,12740,471,12,19,http://172.26.129.206:8080/jforum/forums/list.page,39,0,0,,,,,,,Type41,,
1.74E+12,8,/jforum/ping_session.jsp-133,200,,Admin 1-6,text,TRUE,,543,527,12,19,http://172.26.129.206:8080/jforum/ping_session.jsp,8,0,0,,,,,,,Type32,,
1.74E+12,64,/jforum/jforum.page-492,200,,Admin2 2-5,text,TRUE,,13334,1625,7,19,http://172.26.129.206:8080/jforum/forums/list.page?OWASP_CSRFTOKEN=WMJV-FLW0-YDTR-YBF7-D65F-55MM-H6FW-UJAK,22,0,0,,,,,,,Type41,,
1.74E+12,22,/jforum/jforum.page-492-0,302,,Admin2 2-5,,TRUE,,529,921,7,19,http://172.26.129.206:8080/jforum/jforum.page,22,0,0,,,,,,,Type38,,
1.74E+12,42,/jforum/jforum.page-492-1,200,,Admin2 2-5,text,TRUE,,12805,704,7,19,http://172.26.129.206:8080/jforum/forums/list.page?OWASP_CSRFTOKEN=WMJV-FLW0-YDTR-YBF7-D65F-55MM-H6FW-UJAK,41,0,0,,,,,,,Type38,,
1.74E+12,37,/jforum/forums/list.page-494,200,,Admin2 2-4,text,TRUE,,12805,621,7,19,http://172.26.129.206:8080/jforum/forums/list.page?OWASP_CSRFTOKEN=WH48-6ISJ-WE29-KUVS-KMIK-HDBI-9CFZ-A7WB,37,0,0,,,,,,,Type38,,
1.74E+12,14,/jforum/user/login.page-134,200,,Admin 1-6,text,TRUE,,6247,529,13,20,http://172.26.129.206:8080/jforum/user/login.page,14,0,0,,,,,,,Type32,,
1.74E+12,9,/jforum/templates/default/images/icon_mini_members.gif-497,200,,Admin2 2-4,bin,TRUE,,468,582,7,20,http://172.26.129.206:8080/jforum/templates/default/images/icon_mini_members.gif,9,0,0,,,,,,,Type60,,
1.74E+12,27,/jforum/user/login.page-490,200,,Admin2 2-7,text,TRUE,,6785,552,7,20,http://172.26.129.206:8080/jforum/user/login.page,26,0,7,,,,,,,Type54,,
1.74E+12,60,/jforum/-129,200,,Admin 1-10,text,TRUE,,13092,982,13,21,http://172.26.129.206:8080/jforum/forums/list.page,9,0,0,,,,,,,Type60,,
1.74E+12,9,/jforum/-129-0,301,,Admin 1-10,text,TRUE,,166,511,13,21,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,9,0,0,,,,,,,Type1,,
1.74E+12,51,/jforum/-129-1,200,,Admin 1-10,text,TRUE,,12926,471,13,21,http://172.26.129.206:8080/jforum/forums/list.page,50,0,7,,,,,,,Type1,,
1.74E+12,70,/jforum/jforum.page-492,200,,Admin2 2-3,text,TRUE,,13520,1625,8,21,http://172.26.129.206:8080/jforum/forums/list.page?OWASP_CSRFTOKEN=7T5E-E3UL-FYP5-DD7I-KNZB-RPHU-VVJ3-1HGG,22,0,0,,,,,,,Type1,,
1.74E+12,22,/jforum/jforum.page-492-0,302,,Admin2 2-3,,TRUE,,529,921,8,21,http://172.26.129.206:8080/jforum/jforum.page,22,0,0,,,,,,,Type38,,
1.74E+12,47,/jforum/jforum.page-492-1,200,,Admin2 2-3,text,TRUE,,12991,704,8,21,http://172.26.129.206:8080/jforum/forums/list.page?OWASP_CSRFTOKEN=7T5E-E3UL-FYP5-DD7I-KNZB-RPHU-VVJ3-1HGG,46,0,0,,,,,,,Type38,,
1.74E+12,14,/jforum/ping_session.jsp-498,200,,Admin2 2-4,text,TRUE,,543,619,8,21,http://172.26.129.206:8080/jforum/ping_session.jsp,14,0,0,,,,,,,Type38,,
1.74E+12,16,/jforum/ping_session.jsp-135,200,,Admin 1-6,text,TRUE,,543,526,13,21,http://172.26.129.206:8080/jforum/ping_session.jsp,16,0,0,,,,,,,Type41,,
1.74E+12,12,/jforum/ping_session.jsp-491,200,,Admin2 2-7,text,TRUE,,543,546,8,21,http://172.26.129.206:8080/jforum/ping_session.jsp,12,0,0,,,,,,,Type41,,
1.74E+12,39,/jforum/forums/list.page-494,200,,Admin2 2-5,text,TRUE,,12991,621,8,21,http://172.26.129.206:8080/jforum/forums/list.page?OWASP_CSRFTOKEN=WH48-6ISJ-WE29-KUVS-KMIK-HDBI-9CFZ-A7WB,33,0,0,,,,,,,Type41,,
1.74E+12,61,/jforum/jforum.page-141,200,,Admin 1-4,text,TRUE,,13520,1517,13,21,http://172.26.129.206:8080/jforum/forums/list.page?OWASP_CSRFTOKEN=PF2N-I0B4-CELE-8AS0-IBCJ-1OXD-GK15-WAP4,24,0,0,,,,,,,Type32,,
1.74E+12,24,/jforum/jforum.page-141-0,302,,Admin 1-4,,TRUE,,529,837,13,21,http://172.26.129.206:8080/jforum/jforum.page,24,0,0,,,,,,,Type38,,
1.74E+12,37,/jforum/jforum.page-141-1,200,,Admin 1-4,text,TRUE,,12991,680,13,21,http://172.26.129.206:8080/jforum/forums/list.page?OWASP_CSRFTOKEN=PF2N-I0B4-CELE-8AS0-IBCJ-1OXD-GK15-WAP4,36,0,0,,,,,,,Type38,,
1.74E+12,8,/jforum/templates/default/images/icon_mini_members.gif-497,200,,Admin2 2-5,bin,TRUE,,468,582,8,21,http://172.26.129.206:8080/jforum/templates/default/images/icon_mini_members.gif,8,0,0,,,,,,,Type38,,
1.74E+12,71,/jforum/jforum.page-492,200,,Admin2 2-6,text,TRUE,,13520,1625,8,22,http://172.26.129.206:8080/jforum/forums/list.page?OWASP_CSRFTOKEN=ZVLV-3SVG-V7T0-ZYEC-1HWU-UIIB-RUDF-CNB7,30,0,0,,,,,,,Type54,,
1.74E+12,30,/jforum/jforum.page-492-0,302,,Admin2 2-6,,TRUE,,529,921,8,22,http://172.26.129.206:8080/jforum/jforum.page,30,0,0,,,,,,,Type38,,
1.74E+12,41,/jforum/jforum.page-492-1,200,,Admin2 2-6,text,TRUE,,12991,704,8,22,http://172.26.129.206:8080/jforum/forums/list.page?OWASP_CSRFTOKEN=ZVLV-3SVG-V7T0-ZYEC-1HWU-UIIB-RUDF-CNB7,38,0,0,,,,,,,Type38,,
1.74E+12,9,/jforum/templates/default/images/icon_mini_members.gif-146,200,,Admin 1-4,bin,TRUE,,468,506,14,22,http://172.26.129.206:8080/jforum/templates/default/images/icon_mini_members.gif,9,0,0,,,,,,,Type38,,
1.74E+12,26,/jforum/user/login.page-490,200,,Admin2 2-8,text,TRUE,,6785,552,8,22,http://172.26.129.206:8080/jforum/user/login.page,26,0,8,,,,,,,Type54,,
1.74E+12,27,/jforum/forums/newMessages.page-499,200,,Admin2 2-4,text,TRUE,,10451,629,8,22,http://172.26.129.206:8080/jforum/forums/newMessages.page,26,0,0,,,,,,,Type60,,
1.74E+12,9,/jforum/ping_session.jsp-498,200,,Admin2 2-5,text,TRUE,,543,619,8,22,http://172.26.129.206:8080/jforum/ping_session.jsp,9,0,0,,,,,,,Type33,,
1.74E+12,10,/jforum/ping_session.jsp-147,200,,Admin 1-4,text,TRUE,,543,543,14,22,http://172.26.129.206:8080/jforum/ping_session.jsp,10,0,0,,,,,,,Type41,,
1.74E+12,10,/jforum/ping_session.jsp-491,200,,Admin2 2-8,text,TRUE,,543,546,8,22,http://172.26.129.206:8080/jforum/ping_session.jsp,10,0,0,,,,,,,Type41,,
1.74E+12,35,/jforum/forums/list.page-494,200,,Admin2 2-3,text,TRUE,,13084,621,8,22,http://172.26.129.206:8080/jforum/forums/list.page?OWASP_CSRFTOKEN=WH48-6ISJ-WE29-KUVS-KMIK-HDBI-9CFZ-A7WB,33,0,0,,,,,,,Type41,,
1.74E+12,36,/jforum/forums/list.page-143,200,,Admin 1-6,text,TRUE,,13019,525,14,22,http://172.26.129.206:8080/jforum/forums/list.page,33,0,0,,,,,,,Type32,,
1.74E+12,10,/jforum/ping_session.jsp-500,200,,Admin2 2-4,text,TRUE,,543,570,9,23,http://172.26.129.206:8080/jforum/ping_session.jsp,10,0,0,,,,,,,Type32,,
1.74E+12,219,/jforum/ping_session.jsp-133,200,,Admin 1-3,text,TRUE,,543,527,14,23,http://172.26.129.206:8080/jforum/ping_session.jsp,219,0,0,,,,,,,Type41,,
1.74E+12,219,/jforum/ping_session.jsp-491,200,,Admin2 2-1,text,TRUE,,543,546,9,23,http://172.26.129.206:8080/jforum/ping_session.jsp,219,0,0,,,,,,,Type41,,
1.74E+12,220,/jforum/ping_session.jsp-135,200,,Admin 1-2,text,TRUE,,543,526,14,23,http://172.26.129.206:8080/jforum/ping_session.jsp,220,0,0,,,,,,,Type41,,
1.74E+12,8,/jforum/templates/default/images/icon_mini_members.gif-497,200,,Admin2 2-3,bin,TRUE,,468,582,9,23,http://172.26.129.206:8080/jforum/templates/default/images/icon_mini_members.gif,8,0,0,,,,,,,Type41,,
1.74E+12,43,/jforum/forums/list.page-130,200,,Admin 1-10,text,TRUE,,13019,471,14,23,http://172.26.129.206:8080/jforum/forums/list.page,42,0,0,,,,,,,Type54,,
1.74E+12,8,/jforum/ping_session.jsp-133,200,,Admin 1-10,text,TRUE,,543,527,14,23,http://172.26.129.206:8080/jforum/ping_session.jsp,8,0,0,,,,,,,Type32,,
1.74E+12,9,/jforum/ping_session.jsp-498,200,,Admin2 2-3,text,TRUE,,543,619,9,23,http://172.26.129.206:8080/jforum/ping_session.jsp,9,0,0,,,,,,,Type41,,
1.74E+12,17,/jforum/user/login.page-134,200,,Admin 1-3,text,TRUE,,6247,529,14,23,http://172.26.129.206:8080/jforum/user/login.page,17,0,0,,,,,,,Type41,,
1.74E+12,29,/jforum/forums/newMessages.page-499,200,,Admin2 2-5,text,TRUE,,10451,629,9,23,http://172.26.129.206:8080/jforum/forums/newMessages.page,28,0,0,,,,,,,Type60,,
1.74E+12,26,/jforum/jforum.page-139,200,,Admin 1-6,text,TRUE,,6379,842,15,24,http://172.26.129.206:8080/jforum/jforum.page,25,0,0,,,,,,,Type33,,
1.74E+12,14,/jforum/user/login.page-134,200,,Admin 1-10,text,TRUE,,6247,529,15,24,http://172.26.129.206:8080/jforum/user/login.page,13,0,0,,,,,,,Type38,,
1.74E+12,27,/jforum/user/login.page-490,200,,Admin2 2-9,text,TRUE,,6785,552,9,24,http://172.26.129.206:8080/jforum/user/login.page,27,0,7,,,,,,,Type60,,
1.74E+12,9,/jforum/ping_session.jsp-135,200,,Admin 1-3,text,TRUE,,543,526,15,24,http://172.26.129.206:8080/jforum/ping_session.jsp,9,0,0,,,,,,,Type60,,
1.74E+12,9,/jforum/ping_session.jsp-500,200,,Admin2 2-5,text,TRUE,,543,570,9,24,http://172.26.129.206:8080/jforum/ping_session.jsp,9,0,0,,,,,,,Type41,,
1.74E+12,8,/jforum/ping_session.jsp-140,200,,Admin 1-6,text,TRUE,,543,522,15,24,http://172.26.129.206:8080/jforum/ping_session.jsp,8,0,0,,,,,,,Type41,,
1.74E+12,48,/jforum/forums/list.page-494,200,,Admin2 2-6,text,TRUE,,13084,621,9,24,http://172.26.129.206:8080/jforum/forums/list.page?OWASP_CSRFTOKEN=WH48-6ISJ-WE29-KUVS-KMIK-HDBI-9CFZ-A7WB,46,0,0,,,,,,,Type41,,
1.74E+12,9,/jforum/ping_session.jsp-135,200,,Admin 1-10,text,TRUE,,543,526,15,24,http://172.26.129.206:8080/jforum/ping_session.jsp,8,0,0,,,,,,,Type32,,
1.74E+12,367,/jforum/-129,200,,Admin 1-5,text,TRUE,,13464,982,17,26,http://172.26.129.206:8080/jforum/forums/list.page,239,0,0,,,,,,,Type41,,
1.74E+12,239,/jforum/-129-0,301,,Admin 1-5,text,TRUE,,166,511,17,26,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,239,0,0,,,,,,,Type1,,
1.74E+12,128,/jforum/-129-1,200,,Admin 1-5,text,TRUE,,13298,471,17,26,http://172.26.129.206:8080/jforum/forums/list.page,128,0,7,,,,,,,Type1,,
1.74E+12,121,/jforum/forums/list.page-143,200,,Admin 1-3,text,TRUE,,13298,525,17,26,http://172.26.129.206:8080/jforum/forums/list.page,121,0,0,,,,,,,Type1,,
