timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,Unique Request,Message Types,Type,Elapsed,Response Time
1.74E+12,13,/jforum/ping_session.jsp-147,200,,Admin 1-1,text,TRUE,,543,527,9,10,http://172.26.129.206:8080/jforum/ping_session.jsp,13,0,0,,,,,user/registration,Type63,Type41,111.68,72.38666667
1.74E+12,15,/jforum/user/login.page-134,200,,Admin 1-4,text,TRUE,,6247,529,9,10,http://172.26.129.206:8080/jforum/user/login.page,14,0,0,,,,,,,Type60,,
1.74E+12,16,/jforum/jforum.page-141,200,,Admin 1-2,text,TRUE,,6379,837,9,10,http://172.26.129.206:8080/jforum/jforum.page,15,0,0,,,,,,,Type38,,
1.74E+12,16,/jforum/jforum.page-139,200,,Admin 1-3,text,TRUE,,6379,842,9,10,http://172.26.129.206:8080/jforum/jforum.page,15,0,0,,,,,,,Type38,,
1.74E+12,125,/jforum/-129,200,,Admin 1-5,text,TRUE,,16073,977,9,10,http://172.26.129.206:8080/jforum/install.jsp,8,0,0,,,,,,,Type1,,
1.74E+12,8,/jforum/-129-0,301,,Admin 1-5,text,TRUE,,161,511,9,10,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,8,0,0,,,,,,,Type1,,
1.74E+12,117,/jforum/-129-1,200,,Admin 1-5,text,TRUE,,15912,466,9,10,http://172.26.129.206:8080/jforum/install.jsp,111,0,99,,,,,,,Type1,,
1.74E+12,143,/jforum/jforum.page-127,200,,Admin 1-6,text,TRUE,,16449,1788,9,10,http://172.26.129.206:8080/jforum/install.jsp,16,0,8,,,,,,,Type38,,
1.74E+12,16,/jforum/jforum.page-127-0,302,,Admin 1-6,,TRUE,,221,413,9,10,http://172.26.129.206:8080/jforum/jforum.page,16,0,8,,,,,,,Type38,,
1.74E+12,8,/jforum/jforum.page-127-1,302,,Admin 1-6,,TRUE,,155,454,9,10,http://172.26.129.206:8080/jforum,8,0,0,,,,,,,Type38,,
1.74E+12,11,/jforum/recentTopics/list.page-151,200,,Admin 1-1,text,TRUE,,5642,536,9,10,http://172.26.129.206:8080/jforum/recentTopics/list.page,11,0,0,,,,,,,Type53,,
1.74E+12,95,/jforum/jforum.page-127-2,301,,Admin 1-6,text,TRUE,,161,455,9,10,http://172.26.129.206:8080/jforum/,95,0,0,,,,,,,Type38,,
1.74E+12,24,/jforum/jforum.page-127-3,200,,Admin 1-6,text,TRUE,,15912,466,9,10,http://172.26.129.206:8080/jforum/install.jsp,19,0,9,,,,,,,Type38,,
1.74E+12,9,/jforum/templates/default/images/icon_mini_members.gif-146,200,,Admin 1-2,bin,TRUE,,468,490,9,11,http://172.26.129.206:8080/jforum/templates/default/images/icon_mini_members.gif,9,0,0,,,,,,,Type54,,
1.74E+12,14,/jforum/ping_session.jsp-135,200,,Admin 1-4,text,TRUE,,543,526,9,11,http://172.26.129.206:8080/jforum/ping_session.jsp,14,0,0,,,,,,,Type41,,
1.74E+12,11,/jforum/ping_session.jsp-140,200,,Admin 1-3,text,TRUE,,543,522,9,11,http://172.26.129.206:8080/jforum/ping_session.jsp,11,0,0,,,,,,,Type41,,
1.74E+12,17,/jforum/jforum.page-492,200,,Admin2 2-1,text,TRUE,,6379,921,2,11,http://172.26.129.206:8080/jforum/jforum.page,17,0,0,,,,,,,Type38,,
1.74E+12,15,/jforum/ping_session.jsp-152,200,,Admin 1-1,text,TRUE,,543,533,9,12,http://172.26.129.206:8080/jforum/ping_session.jsp,15,0,0,,,,,,,Type41,,
1.74E+12,12,/jforum/ping_session.jsp-147,200,,Admin 1-2,text,TRUE,,543,527,9,12,http://172.26.129.206:8080/jforum/ping_session.jsp,12,0,0,,,,,,,Type41,,
1.74E+12,15,/jforum/jforum.page-141,200,,Admin 1-3,text,TRUE,,6379,837,9,12,http://172.26.129.206:8080/jforum/jforum.page,14,0,0,,,,,,,Type38,,
1.74E+12,27,/jforum/forums/list.page-130,200,,Admin 1-5,text,TRUE,,27908,471,10,13,http://172.26.129.206:8080/jforum/forums/list.page,18,0,0,,,,,,,Type32,,
1.74E+12,24,/jforum/user/login.page-490,200,,Admin2 2-4,text,TRUE,,6785,552,3,13,http://172.26.129.206:8080/jforum/user/login.page,22,0,8,,,,,,,Type60,,
1.74E+12,11,/jforum/templates/default/images/xml_button.gif-153,200,,Admin 1-1,bin,TRUE,,897,489,10,13,http://172.26.129.206:8080/jforum/templates/default/images/xml_button.gif,11,0,0,,,,,,,Type54,,
1.74E+12,15,/jforum/recentTopics/list.page-151,200,,Admin 1-2,text,TRUE,,5642,536,10,13,http://172.26.129.206:8080/jforum/recentTopics/list.page,13,0,0,,,,,,,Type53,,
1.74E+12,12,/jforum/templates/default/images/icon_mini_members.gif-146,200,,Admin 1-3,bin,TRUE,,468,490,10,13,http://172.26.129.206:8080/jforum/templates/default/images/icon_mini_members.gif,12,0,0,,,,,,,Type54,,
1.74E+12,27,/jforum/forums/list.page-143,200,,Admin 1-4,text,TRUE,,27908,525,10,13,http://172.26.129.206:8080/jforum/forums/list.page,18,0,0,,,,,,,Type32,,
1.74E+12,11,/jforum/ping_session.jsp-133,200,,Admin 1-5,text,TRUE,,543,527,10,13,http://172.26.129.206:8080/jforum/ping_session.jsp,11,0,0,,,,,,,Type41,,
1.74E+12,10,/jforum/images/transp.gif-154,200,,Admin 1-1,bin,TRUE,,292,467,10,13,http://172.26.129.206:8080/jforum/images/transp.gif,10,0,0,,,,,,,Type37,,
1.74E+12,38,/jforum/-129,200,,Admin 1-6,text,TRUE,,16073,977,10,13,http://172.26.129.206:8080/jforum/install.jsp,11,0,0,,,,,,,Type1,,
1.74E+12,11,/jforum/ping_session.jsp-491,200,,Admin2 2-4,text,TRUE,,543,546,3,13,http://172.26.129.206:8080/jforum/ping_session.jsp,11,0,0,,,,,,,Type41,,
1.74E+12,11,/jforum/-129-0,301,,Admin 1-6,text,TRUE,,161,511,10,13,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,11,0,0,,,,,,,Type1,,
1.74E+12,27,/jforum/-129-1,200,,Admin 1-6,text,TRUE,,15912,466,10,13,http://172.26.129.206:8080/jforum/install.jsp,20,0,9,,,,,,,Type1,,
1.74E+12,61,/jforum/jforum.page-127,200,,Admin 1-8,text,TRUE,,16449,1788,10,13,http://172.26.129.206:8080/jforum/install.jsp,15,0,7,,,,,,,Type38,,
1.74E+12,15,/jforum/jforum.page-127-0,302,,Admin 1-8,,TRUE,,221,413,10,13,http://172.26.129.206:8080/jforum/jforum.page,15,0,7,,,,,,,Type38,,
1.74E+12,9,/jforum/jforum.page-127-1,302,,Admin 1-8,,TRUE,,155,454,10,13,http://172.26.129.206:8080/jforum,9,0,0,,,,,,,Type38,,
1.74E+12,9,/jforum/jforum.page-127-2,301,,Admin 1-8,text,TRUE,,161,455,10,13,http://172.26.129.206:8080/jforum/,9,0,0,,,,,,,Type38,,
1.74E+12,28,/jforum/jforum.page-127-3,200,,Admin 1-8,text,TRUE,,15912,466,10,13,http://172.26.129.206:8080/jforum/install.jsp,22,0,9,,,,,,,Type38,,
1.74E+12,64,/jforum/jforum.page-127,200,,Admin 1-7,text,TRUE,,16449,1788,10,13,http://172.26.129.206:8080/jforum/install.jsp,15,0,7,,,,,,,Type38,,
1.74E+12,15,/jforum/jforum.page-127-0,302,,Admin 1-7,,TRUE,,221,413,10,13,http://172.26.129.206:8080/jforum/jforum.page,15,0,7,,,,,,,Type38,,
1.74E+12,9,/jforum/jforum.page-127-1,302,,Admin 1-7,,TRUE,,155,454,10,13,http://172.26.129.206:8080/jforum,9,0,0,,,,,,,Type38,,
1.74E+12,8,/jforum/jforum.page-127-2,301,,Admin 1-7,text,TRUE,,161,455,10,13,http://172.26.129.206:8080/jforum/,8,0,0,,,,,,,Type38,,
1.74E+12,31,/jforum/jforum.page-127-3,200,,Admin 1-7,text,TRUE,,15912,466,10,13,http://172.26.129.206:8080/jforum/install.jsp,24,0,12,,,,,,,Type38,,
1.74E+12,32,/jforum/user/login.page-490,200,,Admin2 2-2,text,TRUE,,6785,552,3,13,http://172.26.129.206:8080/jforum/user/login.page,30,0,17,,,,,,,Type60,,
1.74E+12,10,/jforum/ping_session.jsp-147,200,,Admin 1-3,text,TRUE,,543,527,10,13,http://172.26.129.206:8080/jforum/ping_session.jsp,10,0,0,,,,,,,Type41,,
1.74E+12,64,/jforum/jforum.page-127,200,,Admin 1-9,text,TRUE,,16449,1788,10,13,http://172.26.129.206:8080/jforum/install.jsp,15,0,7,,,,,,,Type38,,
1.74E+12,15,/jforum/jforum.page-127-0,302,,Admin 1-9,,TRUE,,221,413,10,13,http://172.26.129.206:8080/jforum/jforum.page,15,0,7,,,,,,,Type38,,
1.74E+12,9,/jforum/jforum.page-127-1,302,,Admin 1-9,,TRUE,,155,454,10,13,http://172.26.129.206:8080/jforum,9,0,0,,,,,,,Type38,,
1.74E+12,10,/jforum/jforum.page-127-2,301,,Admin 1-9,text,TRUE,,161,455,10,13,http://172.26.129.206:8080/jforum/,10,0,0,,,,,,,Type38,,
1.74E+12,10,/jforum/ping_session.jsp-152,200,,Admin 1-2,text,TRUE,,543,533,10,13,http://172.26.129.206:8080/jforum/ping_session.jsp,10,0,0,,,,,,,Type41,,
1.74E+12,29,/jforum/jforum.page-127-3,200,,Admin 1-9,text,TRUE,,15912,466,10,13,http://172.26.129.206:8080/jforum/install.jsp,22,0,11,,,,,,,Type38,,
1.74E+12,39,/jforum/forums/list.page-494,200,,Admin2 2-1,text,TRUE,,27908,605,3,13,http://172.26.129.206:8080/jforum/forums/list.page?OWASP_CSRFTOKEN=WH48-6ISJ-WE29-KUVS-KMIK-HDBI-9CFZ-A7WB,22,0,0,,,,,,,Type32,,
1.74E+12,12,/jforum/user/login.page-134,200,,Admin 1-5,text,TRUE,,6247,529,10,14,http://172.26.129.206:8080/jforum/user/login.page,12,0,0,,,,,,,Type60,,
1.74E+12,17,/jforum/jforum.page-139,200,,Admin 1-4,text,TRUE,,6379,842,10,14,http://172.26.129.206:8080/jforum/jforum.page,17,0,0,,,,,,,Type38,,
1.74E+12,13,/jforum/hottestTopics/list.page-155,200,,Admin 1-1,text,TRUE,,5642,543,10,14,http://172.26.129.206:8080/jforum/hottestTopics/list.page,12,0,0,,,,,,,Type36,,
1.74E+12,11,/jforum/templates/default/images/xml_button.gif-153,200,,Admin 1-2,bin,TRUE,,897,489,10,14,http://172.26.129.206:8080/jforum/templates/default/images/xml_button.gif,11,0,0,,,,,,,Type54,,
1.74E+12,11,/jforum/ping_session.jsp-491,200,,Admin2 2-2,text,TRUE,,543,546,4,14,http://172.26.129.206:8080/jforum/ping_session.jsp,11,0,0,,,,,,,Type41,,
1.74E+12,9,/jforum/templates/default/images/icon_mini_members.gif-497,200,,Admin2 2-1,bin,TRUE,,468,566,4,14,http://172.26.129.206:8080/jforum/templates/default/images/icon_mini_members.gif,9,0,0,,,,,,,Type54,,
1.74E+12,18,/jforum/jforum.page-492,200,,Admin2 2-4,text,TRUE,,6379,921,4,14,http://172.26.129.206:8080/jforum/jforum.page,17,0,0,,,,,,,Type38,,
1.74E+12,15,/jforum/recentTopics/list.page-151,200,,Admin 1-3,text,TRUE,,5642,536,10,14,http://172.26.129.206:8080/jforum/recentTopics/list.page,15,0,0,,,,,,,Type53,,
1.74E+12,12,/jforum/ping_session.jsp-135,200,,Admin 1-5,text,TRUE,,543,526,10,14,http://172.26.129.206:8080/jforum/ping_session.jsp,12,0,0,,,,,,,Type41,,
1.74E+12,10,/jforum/ping_session.jsp-140,200,,Admin 1-4,text,TRUE,,543,522,10,14,http://172.26.129.206:8080/jforum/ping_session.jsp,10,0,0,,,,,,,Type41,,
1.74E+12,11,/jforum/ping_session.jsp-156,200,,Admin 1-1,text,TRUE,,543,534,11,16,http://172.26.129.206:8080/jforum/ping_session.jsp,11,0,0,,,,,,,Type41,,
1.74E+12,10,/jforum/images/transp.gif-154,200,,Admin 1-2,bin,TRUE,,292,467,11,16,http://172.26.129.206:8080/jforum/images/transp.gif,10,0,0,,,,,,,Type37,,
1.74E+12,28,/jforum/forums/list.page-130,200,,Admin 1-6,text,TRUE,,27907,471,11,16,http://172.26.129.206:8080/jforum/forums/list.page,20,0,0,,,,,,,Type32,,
1.74E+12,11,/jforum/ping_session.jsp-498,200,,Admin2 2-1,text,TRUE,,543,603,5,16,http://172.26.129.206:8080/jforum/ping_session.jsp,11,0,0,,,,,,,Type41,,
1.74E+12,12,/jforum/ping_session.jsp-152,200,,Admin 1-3,text,TRUE,,543,533,11,16,http://172.26.129.206:8080/jforum/ping_session.jsp,12,0,0,,,,,,,Type41,,
1.74E+12,18,/jforum/jforum.page-492,200,,Admin2 2-2,text,TRUE,,6379,921,5,16,http://172.26.129.206:8080/jforum/jforum.page,17,0,0,,,,,,,Type38,,
